dataID,dataSet,original_ID,country,state,locality,year,lat,lon
ebird0108,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS277010812,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2014,-16.3786111,-56.6208333
ebird0109,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS267393095,Brazil,Pará,"fazendas near Pousada Rio Azul, Novo Progresso",2014,-9.2583257,-56.0082579
ebird0110,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS268973563,Brazil,Mato Grosso do Sul,Base de Estudos do Pantanal (UFMS),2014,-19.577194,-57.019306
ebird0111,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS269496663,Brazil,Mato Grosso,Pantanal -- Pousada Pouso Alegre,2014,-16.5030776,-56.7453337
ebird0112,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS283806319,Brazil,Mato Grosso do Sul,pousada aguape,2014,-20.09527,-55.96491
ebird0113,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS279778959,Brazil,Mato Grosso,Poconé--Porto Jofre vicinity,2014,-17.3645242,-56.7751122
ebird0114,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS269489584,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2014,-16.3786111,-56.6208333
ebird0115,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS283806810,Brazil,Mato Grosso do Sul,pousada aguape,2014,-20.09527,-55.96491
ebird0116,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS277688947,Brazil,Mato Grosso,Pantanal -- Araras Eco-Lodge,2014,-16.5122399,-56.7117691
ebird0117,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS282382524,Brazil,Mato Grosso do Sul,"baia das pedras,Aquidauana, Aquidauana - MS",2014,-19.2568,-55.78625
ebird0118,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS308107323,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2014,-16.3786111,-56.6208333
ebird0119,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS707175263,Brazil,Mato Grosso,Pantanal -- Pousada Pouso Alegre,2014,-16.5030776,-56.7453337
ebird0120,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS283807784,Brazil,Mato Grosso do Sul,pousada aguape,2014,-20.09527,-55.96491
ebird0121,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS282938197,Brazil,Mato Grosso do Sul,Fazenda Barranco Alto,2014,-19.5772183,-56.1508656
ebird0122,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS283475432,Brazil,Mato Grosso,Poconé--Porto Jofre vicinity,2014,-17.3645242,-56.7751122
ebird0123,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS278383106,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2014,-16.3786111,-56.6208333
ebird0124,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS277674454,Brazil,Mato Grosso,Pantanal -- Araras Eco-Lodge,2014,-16.5122399,-56.7117691
ebird0125,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS282938216,Brazil,Mato Grosso do Sul,Fazenda Barranco Alto,2014,-19.5772183,-56.1508656
ebird0126,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS271556458,Brazil,Mato Grosso,Poconé--Porto Jofre vicinity,2014,-17.3645242,-56.7751122
ebird0127,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS282175782,Brazil,Pará,"Caapiranga - Nov 23, 2014, 5:57 AM",2014,-2.497458,-56.214664
ebird0128,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS271667734,Brazil,Mato Grosso,Pantanal--Rio Pixaim vicinity,2014,-16.7480953,-56.857471
ebird0129,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS308327242,Brazil,Mato Grosso,Pousada Piuval Entrance Rd.,2014,-16.3638,-56.64546
ebird0130,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS277266441,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2014,-16.3786111,-56.6208333
ebird0131,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS278382109,Brazil,Mato Grosso,"Pousada Alegre, Pantanal, Brazil",2014,-16.158442,-56.461449
ebird0132,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS278384061,Brazil,Mato Grosso,Poconé--Porto Jofre vicinity,2014,-17.3645242,-56.7751122
ebird0133,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS269181052,Brazil,Mato Grosso,Pantanal -- Araras Eco-Lodge,2014,-16.5122399,-56.7117691
ebird0134,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS308105723,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2014,-16.3786111,-56.6208333
ebird0135,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS269778306,Brazil,Mato Grosso do Sul,"BR-MS-Aquidauana - -19.5780x-56.1506 - Aug 30, 2014, 7:13 AM",2014,-19.578031,-56.150607
ebird0136,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS272959881,Brazil,Mato Grosso,Pantanal -- Campos do Jofre,2014,-17.2992208,-56.8381275
ebird0137,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS279779779,Brazil,Mato Grosso,Pantanal -- Santa Ysabel road / old IBAMA station,2014,-17.1236888,-56.9457114
ebird0138,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS277067125,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2014,-16.3786111,-56.6208333
ebird0139,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS273869238,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2014,-16.3786111,-56.6208333
ebird0140,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS269756413,Brazil,Mato Grosso do Sul,Porto Joffre,2014,-17.3650583,-56.7722617
ebird0141,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS269452737,Brazil,Mato Grosso,"-9.7619x-54.3304 - Aug 22, 2014, 6:25 AM",2014,-9.761888,-54.330357
ebird0142,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS282938007,Brazil,Mato Grosso do Sul,Fazenda Barranco Alto,2014,-19.5772183,-56.1508656
ebird0143,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS293446686,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2014,-16.3786111,-56.6208333
ebird0144,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS267084930,Brazil,Pará,"fazendas near Pousada Rio Azul, Novo Progresso",2014,-9.2583257,-56.0082579
ebird0145,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS282664366,Brazil,Pará,Caapiranga 4 0,2014,-2.503243,-56.194263
ebird0146,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS282050963,Brazil,Mato Grosso do Sul,"baia das pedras,Aquidauana, Aquidauana - MS",2014,-19.2568,-55.78625
ebird0147,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS272935827,Brazil,Mato Grosso,Pantanal--Pousada Piuval,2014,-16.3786111,-56.6208333
ebird0148,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS260494779,Brazil,Mato Grosso,Poconé--Porto Jofre vicinity,2014,-17.3645242,-56.7751122
ebird0149,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS269465352,Brazil,Mato Grosso,"-9.7769x-54.3522 - Aug 23, 2014, 5:50 AM",2014,-9.776923,-54.352158
ebird0150,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS283808402,Brazil,Mato Grosso do Sul,pousada aguape,2014,-20.09527,-55.96491
ebird0151,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS269497825,Brazil,Mato Grosso,Pantanal -- Pousada Pouso Alegre,2014,-16.5030776,-56.7453337
ebird0152,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS308856490,Brazil,Mato Grosso,Porto Jofre Hotel Grounds,2014,-17.3643194,-56.7741627
ebird0153,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS283577698,Brazil,Mato Grosso,Poconé--Fazenda Santa Tereza (SouthWild Pantanal),2014,-16.7581146,-56.8772335
ebird0154,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS283808494,Brazil,Mato Grosso do Sul,pousada aguape,2014,-20.09527,-55.96491
ebird0155,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS278500755,Brazil,Mato Grosso,Pantanal -- Araras Eco-Lodge,2014,-16.5122399,-56.7117691
ebird0156,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS283036339,Brazil,Mato Grosso do Sul,Fazenda Barranco Alto,2014,-19.5772183,-56.1508656
ebird0157,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS260537367,Brazil,Mato Grosso,Pantanal--Aymara Lodge,2014,-16.5044313,-56.6752026
ebird0158,eBird,URN:CornellLabOfOrnithology:EBIRD:OBS884657191,Brazil,Mato Grosso,pantanal,2014,-16.5090039,-56.6155453
